gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22401223,2024-12-16 19:30,Toronto,Raptors,1610612761,Chicago,Bulls,1610612741,121,122,1610612741,Regular Season,16324,643,,,0
22401224,2024-12-16 19:30,Brooklyn,Nets,1610612751,Cleveland,Cavaliers,1610612739,101,130,1610612739,Regular Season,16588,461,,,0
22401221,2024-12-16 19:00,Detroit,Pistons,1610612765,Miami,Heat,1610612748,125,124,1610612765,Regular Season,17810,624,,,0
22401222,2024-12-16 19:00,Charlotte,Hornets,1610612766,Philadelphia,76ers,1610612755,108,121,1610612755,Regular Season,14677,9,,,0
22401220,2024-12-15 21:30,Los Angeles,Lakers,1610612747,Memphis,Grizzlies,1610612763,116,110,1610612747,Regular Season,15106,1000069,,,0
22401228,2024-12-15 20:30,Golden State,Warriors,1610612744,Dallas,Mavericks,1610612742,133,143,1610612742,Regular Season,18064,1000011,,,0
22401219,2024-12-15 20:00,Phoenix,Suns,1610612756,Portland,Trail Blazers,1610612757,116,109,1610612756,Regular Season,17071,1000051,,,0
22401218,2024-12-15 19:00,San Antonio,Spurs,1610612759,Minnesota,Timberwolves,1610612750,92,106,1610612750,Regular Season,16816,1000118,,,0
22401217,2024-12-15 18:00,Washington,Wizards,1610612764,Boston,Celtics,1610612738,98,112,1610612738,Regular Season,16227,77,,,0
22401227,2024-12-15 18:00,Orlando,Magic,1610612753,New York,Knicks,1610612752,91,100,1610612752,Regular Season,17029,1000125,,,0
22401216,2024-12-15 17:00,Indiana,Pacers,1610612754,New Orleans,Pelicans,1610612740,119,104,1610612754,Regular Season,16792,1000063,,,0
22401230,2024-12-14 20:30,Oklahoma City,Thunder,1610612760,Houston,Rockets,1610612745,111,96,1610612760,Regular Season,17937,606,Emirates NBA Cup,West Semifinal,0
22401229,2024-12-14 16:30,Milwaukee,Bucks,1610612749,Atlanta,Hawks,1610612737,110,102,1610612749,Regular Season,17113,606,Emirates NBA Cup,East Semifinal,0
22401215,2024-12-13 22:00,Portland,Trail Blazers,1610612757,San Antonio,Spurs,1610612759,116,118,1610612759,Regular Season,17025,51,,,0
22401214,2024-12-13 21:30,Utah,Jazz,1610612762,Phoenix,Suns,1610612756,126,134,1610612756,Regular Season,18175,1000106,,,0
22401213,2024-12-13 21:00,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,120,98,1610612743,Regular Season,19779,1000046,,,0
22401210,2024-12-13 20:00,Minnesota,Timberwolves,1610612750,Los Angeles,Lakers,1610612747,97,87,1610612750,Regular Season,18978,61,,,0
22401211,2024-12-13 20:00,Memphis,Grizzlies,1610612763,Brooklyn,Nets,1610612751,135,119,1610612763,Regular Season,15983,242,,,0
22401212,2024-12-13 20:00,Chicago,Bulls,1610612741,Charlotte,Hornets,1610612766,109,95,1610612741,Regular Season,19543,66,,,0
22401208,2024-12-13 19:00,Cleveland,Cavaliers,1610612739,Washington,Wizards,1610612764,115,105,1610612739,Regular Season,19432,1000006,,,0
22401209,2024-12-13 19:00,Philadelphia,76ers,1610612755,Indiana,Pacers,1610612754,107,121,1610612754,Regular Season,19771,419,,,0
22401207,2024-12-12 20:00,New Orleans,Pelicans,1610612740,Sacramento,Kings,1610612758,109,111,1610612758,Regular Season,15488,160,,,0
22401205,2024-12-12 19:30,Boston,Celtics,1610612738,Detroit,Pistons,1610612765,123,99,1610612738,Regular Season,19156,17,,,0
22401206,2024-12-12 19:30,Miami,Heat,1610612748,Toronto,Raptors,1610612761,114,104,1610612748,Regular Season,19600,1000100,,,0
22401204,2024-12-11 21:30,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,91,90,1610612745,Regular Season,18055,215,Emirates NBA Cup,West Quarterfinal,0
22401202,2024-12-11 19:00,New York,Knicks,1610612752,Atlanta,Hawks,1610612737,100,108,1610612737,Regular Season,19812,30,Emirates NBA Cup,East Quarterfinal,0
22401203,2024-12-10 21:30,Oklahoma City,Thunder,1610612760,Dallas,Mavericks,1610612742,118,104,1610612760,Regular Season,17724,1000052,Emirates NBA Cup,West Quarterfinal,0
22401201,2024-12-10 19:00,Milwaukee,Bucks,1610612749,Orlando,Magic,1610612753,114,109,1610612749,Regular Season,17341,642,Emirates NBA Cup,East Quarterfinal,0
22400359,2024-12-09 19:30,Toronto,Raptors,1610612761,New York,Knicks,1610612752,108,113,1610612752,Regular Season,18284,643,,,0
22400358,2024-12-08 21:30,Los Angeles,Lakers,1610612747,Portland,Trail Blazers,1610612757,107,98,1610612747,Regular Season,18997,1000069,,,0
22400356,2024-12-08 21:00,Los Angeles,Clippers,1610612746,Houston,Rockets,1610612745,106,117,1610612745,Regular Season,14782,1000137,,,0
22400357,2024-12-08 21:00,Sacramento,Kings,1610612758,Utah,Jazz,1610612762,141,97,1610612758,Regular Season,15706,609,,,0
22400355,2024-12-08 20:30,Golden State,Warriors,1610612744,Minnesota,Timberwolves,1610612750,114,106,1610612744,Regular Season,18064,1000011,,,0
22400353,2024-12-08 19:00,Washington,Wizards,1610612764,Memphis,Grizzlies,1610612763,112,140,1610612763,Regular Season,15012,77,,,0
22400354,2024-12-08 19:00,San Antonio,Spurs,1610612759,New Orleans,Pelicans,1610612740,121,116,1610612759,Regular Season,16840,1000118,,,0
22400352,2024-12-08 18:30,Orlando,Magic,1610612753,Phoenix,Suns,1610612756,115,110,1610612753,Regular Season,18311,1000125,,,0
22400350,2024-12-08 18:00,Atlanta,Hawks,1610612737,Denver,Nuggets,1610612743,111,141,1610612743,Regular Season,16137,650,,,0
22400351,2024-12-08 18:00,Miami,Heat,1610612748,Cleveland,Cavaliers,1610612739,122,113,1610612748,Regular Season,19600,1000100,,,0
22400349,2024-12-08 17:00,Indiana,Pacers,1610612754,Charlotte,Hornets,1610612766,109,113,1610612766,Regular Season,17274,1000063,,,0
22400348,2024-12-08 15:30,Brooklyn,Nets,1610612751,Milwaukee,Bucks,1610612749,113,118,1610612749,Regular Season,17926,461,,,0
22400347,2024-12-08 13:00,Chicago,Bulls,1610612741,Philadelphia,76ers,1610612755,100,108,1610612755,Regular Season,18837,66,,,0
22400345,2024-12-07 20:00,Boston,Celtics,1610612738,Memphis,Grizzlies,1610612763,121,127,1610612763,Regular Season,19156,17,,,0
22400346,2024-12-07 20:00,Miami,Heat,1610612748,Phoenix,Suns,1610612756,121,111,1610612748,Regular Season,19600,1000100,,,0
22400343,2024-12-07 19:30,New York,Knicks,1610612752,Detroit,Pistons,1610612765,111,120,1610612765,Regular Season,19812,30,,,0
22400344,2024-12-07 19:30,Toronto,Raptors,1610612761,Dallas,Mavericks,1610612742,118,125,1610612742,Regular Season,19625,643,,,0
22400341,2024-12-07 19:00,Washington,Wizards,1610612764,Denver,Nuggets,1610612743,122,113,1610612764,Regular Season,16182,77,,,0
22400342,2024-12-07 19:00,New Orleans,Pelicans,1610612740,Oklahoma City,Thunder,1610612760,109,119,1610612760,Regular Season,15718,160,,,0
22400340,2024-12-07 13:00,Charlotte,Hornets,1610612766,Cleveland,Cavaliers,1610612739,102,116,1610612739,Regular Season,18832,9,,,0
22400338,2024-12-06 22:00,Golden State,Warriors,1610612744,Minnesota,Timberwolves,1610612750,90,107,1610612750,Regular Season,18064,1000011,,,0
22400339,2024-12-06 22:00,Portland,Trail Blazers,1610612757,Utah,Jazz,1610612762,99,141,1610612762,Regular Season,16446,51,,,0
22400336,2024-12-06 20:00,Chicago,Bulls,1610612741,Indiana,Pacers,1610612754,123,132,1610612754,Regular Season,19544,66,,,0
22400337,2024-12-06 20:00,San Antonio,Spurs,1610612759,Sacramento,Kings,1610612758,113,140,1610612758,Regular Season,16796,1000118,,,0
22400334,2024-12-06 19:30,Atlanta,Hawks,1610612737,Los Angeles,Lakers,1610612747,134,132,1610612737,Regular Season,18040,650,,,0
22400335,2024-12-06 19:30,Boston,Celtics,1610612738,Milwaukee,Bucks,1610612749,111,105,1610612738,Regular Season,19156,17,,,0
22400333,2024-12-06 19:00,Philadelphia,76ers,1610612755,Orlando,Magic,1610612753,102,94,1610612755,Regular Season,19802,419,,,0
22400332,2024-12-05 22:00,Golden State,Warriors,1610612744,Houston,Rockets,1610612745,99,93,1610612744,Regular Season,18064,1000011,,,0
22400329,2024-12-05 20:00,Memphis,Grizzlies,1610612763,Sacramento,Kings,1610612758,115,110,1610612763,Regular Season,15776,242,,,0
22400330,2024-12-05 20:00,New Orleans,Pelicans,1610612740,Phoenix,Suns,1610612756,126,124,1610612740,Regular Season,16365,160,,,0
22400331,2024-12-05 20:00,San Antonio,Spurs,1610612759,Chicago,Bulls,1610612741,124,139,1610612741,Regular Season,17720,1000118,,,0
22400327,2024-12-05 19:30,New York,Knicks,1610612752,Charlotte,Hornets,1610612766,125,101,1610612752,Regular Season,19812,30,,,0
22400328,2024-12-05 19:30,Toronto,Raptors,1610612761,Oklahoma City,Thunder,1610612760,92,129,1610612760,Regular Season,18356,643,,,0
22400325,2024-12-05 19:00,Cleveland,Cavaliers,1610612739,Denver,Nuggets,1610612743,126,114,1610612739,Regular Season,19432,1000006,,,0
22400326,2024-12-05 19:00,Washington,Wizards,1610612764,Dallas,Mavericks,1610612742,101,137,1610612742,Regular Season,15921,77,,,0
22400324,2024-12-04 22:30,Los Angeles,Clippers,1610612746,Minnesota,Timberwolves,1610612750,80,108,1610612750,Regular Season,15111,1000137,,,0
22400323,2024-12-04 20:00,Milwaukee,Bucks,1610612749,Atlanta,Hawks,1610612737,104,119,1610612737,Regular Season,17341,642,,,0
22400319,2024-12-04 19:30,Boston,Celtics,1610612738,Detroit,Pistons,1610612765,130,120,1610612738,Regular Season,19156,17,,,0
22400320,2024-12-04 19:30,Brooklyn,Nets,1610612751,Indiana,Pacers,1610612754,99,90,1610612751,Regular Season,16748,461,,,0
22400321,2024-12-04 19:30,Miami,Heat,1610612748,Los Angeles,Lakers,1610612747,134,93,1610612748,Regular Season,19657,1000100,,,0
22400322,2024-12-04 19:30,Philadelphia,76ers,1610612755,Orlando,Magic,1610612753,102,106,1610612753,Regular Season,19851,419,,,0
22400060,2024-12-03 22:30,Los Angeles,Clippers,1610612746,Portland,Trail Blazers,1610612757,127,105,1610612746,Regular Season,15583,1000137,Emirates NBA Cup,West Group A,0
22400058,2024-12-03 22:00,Denver,Nuggets,1610612743,Golden State,Warriors,1610612744,119,115,1610612743,Regular Season,19912,1000046,Emirates NBA Cup,West Group C,0
22400059,2024-12-03 22:00,Sacramento,Kings,1610612758,Houston,Rockets,1610612745,120,111,1610612758,Regular Season,15019,609,Emirates NBA Cup,West Group A,0
22400057,2024-12-03 21:00,Phoenix,Suns,1610612756,San Antonio,Spurs,1610612759,104,93,1610612756,Regular Season,17071,1000051,Emirates NBA Cup,West Group B,0
22400056,2024-12-03 20:30,Dallas,Mavericks,1610612742,Memphis,Grizzlies,1610612763,121,116,1610612742,Regular Season,20277,193,Emirates NBA Cup,West Group C,0
22400055,2024-12-03 20:00,Oklahoma City,Thunder,1610612760,Utah,Jazz,1610612762,133,106,1610612760,Regular Season,17711,1000052,Emirates NBA Cup,West Group B,0
22400053,2024-12-03 19:30,New York,Knicks,1610612752,Orlando,Magic,1610612753,121,106,1610612752,Regular Season,19812,30,Emirates NBA Cup,East Group A,0
22400054,2024-12-03 19:30,Toronto,Raptors,1610612761,Indiana,Pacers,1610612754,122,111,1610612761,Regular Season,17741,643,Emirates NBA Cup,East Group B,0
22400050,2024-12-03 19:00,Charlotte,Hornets,1610612766,Philadelphia,76ers,1610612755,104,110,1610612755,Regular Season,14956,9,Emirates NBA Cup,East Group A,0
22400051,2024-12-03 19:00,Cleveland,Cavaliers,1610612739,Washington,Wizards,1610612764,118,87,1610612739,Regular Season,19432,1000006,Emirates NBA Cup,East Group C,0
22400052,2024-12-03 19:00,Detroit,Pistons,1610612765,Milwaukee,Bucks,1610612749,107,128,1610612749,Regular Season,17988,624,Emirates NBA Cup,East Group B,0
22400317,2024-12-02 20:00,Chicago,Bulls,1610612741,Brooklyn,Nets,1610612751,128,102,1610612741,Regular Season,19131,66,,,0
22400318,2024-12-02 20:00,Minnesota,Timberwolves,1610612750,Los Angeles,Lakers,1610612747,109,80,1610612750,Regular Season,18978,61,,,0
